device_id,csv_filename,uploaded_at,Datetime,Frame ID,Track ID,ReID Name,Prob,BBox4,LeftEyeAngle,RightEyeAngle,IsLooking,Gender,Age,Prob_<15,Prob_15-30,Prob_30-45,Prob_45-60,Prob_>60
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:10:058,155,10550,null,0.8286,"[647, 344, 867, 812]",-1.0,-1.0,N/A,Male,32,0.0024,0.4356,0.7151,0.0018,0.0044
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:10:233,156,10550,null,0.8171,"[654, 341, 873, 807]",-1.0,-1.0,N/A,Male,32,0.0024,0.4356,0.7151,0.0018,0.0044
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:10:555,157,10550,null,0.8026,"[657, 342, 874, 802]",-1.0,-1.0,N/A,Male,32,0.0024,0.4356,0.7151,0.0018,0.0044
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:12:427,163,10557,null,0.8008,"[1433, 339, 1581, 715]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:15:378,184,10349,null,0.8092,"[1049, 395, 1251, 851]",-1.0,-1.0,N/A,Female,24,0.0019,0.9658,0.1125,0.0057,0.0013
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:16:791,193,10557,null,0.8015,"[1424, 340, 1568, 713]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:18:140,199,10496,null,0.8049,"[1450, 592, 1733, 1124]",-1.0,-1.0,N/A,Female,27,0.0039,0.6803,0.232,0.0111,0.0026
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:18:351,200,10496,null,0.8175,"[1459, 594, 1738, 1127]",-1.0,-1.0,N/A,Female,27,0.0039,0.6803,0.232,0.0111,0.0026
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:18:936,201,10554,null,0.8275,"[1103, 380, 1345, 876]",-1.0,-1.0,N/A,Female,26,0.0003,0.9451,0.2339,0.0008,0.0014
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:18:950,202,10554,null,0.8257,"[1118, 382, 1347, 860]",-1.0,-1.0,N/A,Female,26,0.0003,0.9451,0.2339,0.0008,0.0014
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:18:976,203,10554,null,0.8328,"[1122, 378, 1346, 854]",-1.0,-1.0,N/A,Female,26,0.0003,0.9451,0.2339,0.0008,0.0014
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:20:855,213,10482,null,0.8031,"[1135, 361, 1304, 766]",-1.0,-1.0,N/A,Female,23,0.0007,0.9965,0.0331,0.0003,0.0001
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:20:862,214,10349,null,0.8133,"[742, 340, 981, 865]",-1.0,-1.0,N/A,Female,24,0.0019,0.9658,0.1125,0.0057,0.0013
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:21:069,216,10578,null,0.8162,"[413, 437, 688, 1010]",-1.0,-1.0,N/A,Female,32,0.0259,0.3937,0.6676,0.0049,0.0098
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:27:232,253,10494,null,0.8091,"[1176, 603, 1454, 1083]",-1.0,-1.0,N/A,Male,25,0.0079,0.8372,0.1033,0.0025,0.0094
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:27:367,254,10557,null,0.8208,"[1435, 343, 1586, 713]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:27:527,255,10557,null,0.8304,"[1427, 344, 1578, 715]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:27:657,256,10262,null,0.8067,"[1528, 306, 1659, 678]",-1.0,-1.0,N/A,Female,23,0.0004,0.9864,0.0583,0.0013,0.0032
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:27:794,257,10262,null,0.8084,"[1528, 305, 1659, 678]",-1.0,-1.0,N/A,Female,23,0.0004,0.9864,0.0583,0.0013,0.0032
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:28:281,259,10262,null,0.8009,"[1527, 305, 1659, 677]",-1.0,-1.0,N/A,Female,23,0.0004,0.9864,0.0583,0.0013,0.0032
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:29:342,265,10557,null,0.8116,"[1423, 341, 1569, 713]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
